name,type,source
L-Hypoglycin A,compound,food_db
Hypoglycin B,compound,food_db
S-Methylcysteine sulfoxide,compound,food_db
L-4-Methylene-2-pyrrolidinecarboxylic acid,compound,food_db
(±)-4-Methylene-2-pyrrolidinecarboxylic acid,compound,food_db
Lysozyme,compound,food_db
Pipecolic acid,compound,food_db
L-Pipecolic acid,compound,food_db
Deoxyalliin,compound,food_db
Isoalliin,compound,food_db
S-Propylcysteine sulfoxide,compound,food_db
(R)C(R)S-S-Propylcysteine sulfoxide,compound,food_db
(R)C(S)S-S-Propylcysteine sulfoxide,compound,food_db
L-Alanine,compound,food_db
(±)-Alanine,compound,food_db
Alliin,compound,food_db
2-Amino-4-hydroxy-3-methylpentanoic acid,compound,food_db
"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",compound,food_db
alpha-Tocopherol,compound,food_db
L-DOPA,compound,food_db
L-DOPA 3'-glucoside,compound,food_db
Aspartame,compound,food_db
L-Proline,compound,food_db
Carnitine,compound,food_db
L-carnitine,compound,food_db
Pyridoxine,compound,food_db
Pyridoxine hydrochloride,compound,food_db
Xanthotoxol,compound,food_db
Oryzarol,compound,food_db
Erosnin,compound,food_db
Eugenitin,compound,food_db
Dolichin B,compound,food_db
Dolichin A,compound,food_db
Eupatilin,compound,food_db
Isodillapiole,compound,food_db
Isoeugenitin,compound,food_db
Isolimocitrol,compound,food_db
Isomangiferin,compound,food_db
Isoorientin 2''-glucoside,compound,food_db
Isorhamnetin 3-dirhamnoside,compound,food_db
Isorhamnetin,compound,food_db
Isorhamnetin 3-galactoside,compound,food_db
Isorhamnetin 7-glucoside,compound,food_db
Isorhamnetin 3-sophoroside 7-glucoside,compound,food_db
Isorhamnetin 7-rhamnoside,compound,food_db
Isorhamnetin 3-rutinoside,compound,food_db
Isosakuranetin,compound,food_db
Isosakuranetin 7-glucoside,compound,food_db
Didymin,compound,food_db
Isotheaflavin,compound,food_db
Isovitexin,compound,food_db
Isovitexin 2''-glucoside,compound,food_db
Farnesiferol A,compound,food_db
Isoferreirin,compound,food_db
Fisetin,compound,food_db
Formononetin 7-(6''-malonylglucoside),compound,food_db
Trigoforin,compound,food_db
Kaempferol,compound,food_db
Kaempferol 3-glucuronide,compound,food_db
